,Cloudiness,Date,Humidity,Lat,Lng,Max temp,Wind speed,city,country_code
165,75,1524262800,86,38.69,35.55,5.0,2.6,Talas,TR
166,75,1524261600,17,50.1,-91.92,14.0,1.11,Sioux Lookout,CA
167,20,1524264545,96,31.76,25.09,17.7,4.09,Bardiyah,LY
168,90,1524262200,33,32.45,-99.73,22.0,12.3,Abilene,US
169,8,1524264545,96,17.48,106.6,24.45,2.96,Dong Hoi,VN
170,0,1524264546,54,-13.6,24.21,15.67,3.41,Kabompo,ZM
171,20,1524264546,92,-14.92,13.49,14.3,0.79,Lubango,AO
172,92,1524264546,99,-1.58,14.26,20.22,2.41,Lekoni,GA
173,0,1524263400,67,47.73,-3.43,15.0,1.0,Ploemeur,FR
174,75,1524261600,75,-53.16,-70.91,5.0,12.9,Punta Arenas,CL
175,20,1524261600,72,35.73,140.83,15.0,1.0,Hasaki,JP
176,0,1524264547,100,14.9,-24.5,20.62,7.06,Sao Filipe,CV
177,0,1524264547,70,37.35,59.62,4.42,1.89,Kaka,TM
178,24,1524264547,89,4.26,15.79,22.72,3.01,Berberati,CF
179,48,1524264547,99,13.78,124.39,27.55,2.86,Gigmoto,PH
180,36,1524264547,90,-2.92,-39.92,25.57,2.56,Itarema,BR
181,75,1524261240,21,22.89,-109.91,30.0,5.1,Cabo San Lucas,MX
182,8,1524264548,91,-33.35,149.98,15.2,1.26,Portland,AU
183,56,1524264548,100,-19.55,169.27,24.72,6.89,Isangel,VU
184,0,1524261600,82,13.18,-16.76,20.0,5.1,Gunjur,GM
185,0,1524264548,93,-34.0,24.73,14.47,3.84,Kruisfontein,ZA
186,8,1524264548,91,-1.2,-46.02,25.92,3.31,Carutapera,BR
187,80,1524264548,84,64.27,100.22,-3.21,2.14,Tura,RU
188,90,1524261600,93,66.04,-17.34,4.0,3.1,Husavik,IS
189,0,1524261600,62,38.08,138.43,14.0,4.6,Ryotsu,JP
190,48,1524264549,84,71.97,114.09,-11.56,2.01,Saskylakh,RU
191,92,1524264549,100,-46.6,168.33,10.87,12.61,Bluff,NZ
192,56,1524264610,88,77.48,-69.36,-11.56,2.49,Qaanaaq,GL
193,12,1524264610,44,13.98,10.27,25.02,1.26,Goure,NE
194,48,1524264610,100,7.98,49.82,25.05,1.66,Eyl,SO
195,88,1524264610,97,-32.81,-56.52,19.8,3.49,Paso de los Toros,UY
196,0,1524261600,100,-33.59,22.2,12.0,1.0,Oudtshoorn,ZA
197,1,1524262500,16,37.26,-77.41,18.0,2.6,Colonial Heights,US
198,0,1524264611,73,-31.54,-68.53,19.05,1.01,San Juan,AR
199,1,1524263700,22,39.51,-90.4,17.0,5.7,Barrow,US
200,75,1524263820,100,47.66,-52.73,2.0,7.7,Torbay,CA
201,0,1524261600,68,56.15,101.63,-4.0,2.0,Bratsk,RU
202,80,1524264612,62,60.35,102.28,-2.53,2.81,Vanavara,RU
203,75,1524263400,82,37.72,-25.43,16.0,4.1,Vila Franca do Campo,PT
204,92,1524264612,100,-2.68,111.62,22.02,0.89,Pangkalanbuun,ID
205,40,1524261600,74,15.03,-88.0,30.0,8.7,San Buenaventura,HN
206,75,1524261480,42,64.84,-147.72,-1.0,4.6,Fairbanks,US
207,92,1524264612,100,-4.02,35.77,17.37,1.29,Magugu,TZ
208,64,1524264613,55,50.25,-96.06,10.05,3.64,Lac du Bonnet,CA
209,20,1524264613,96,8.41,48.48,20.97,1.29,Garowe,SO
210,1,1524262500,40,32.52,-93.73,21.0,4.6,Bossier City,US
211,1,1524261480,6,31.65,-106.3,25.0,7.7,Socorro,US
212,90,1524262560,93,48.94,-125.55,9.0,6.2,Ucluelet,CA
213,1,1524261600,77,49.76,-77.63,0.0,5.7,Matagami,CA
214,0,1524264614,37,16.15,36.2,25.2,3.24,Wagar,SD
215,80,1524264614,96,-2.02,147.27,29.45,4.26,Lorengau,PG
216,20,1524264614,66,16.91,-92.09,22.47,0.94,Ocosingo,MX
217,5,1524260400,65,21.23,-86.73,28.0,3.1,Isla Mujeres,MX
218,44,1524264614,97,-3.28,-39.27,28.95,5.26,Trairi,BR
219,76,1524264614,73,43.65,111.97,3.8,5.99,Erenhot,CN
220,40,1524261000,93,69.58,20.21,2.0,2.1,Lyngseidet,NO
221,48,1524264615,100,-3.31,129.0,26.92,0.84,Amahai,ID
222,20,1524261600,88,14.02,100.17,28.0,2.1,Bang Len,TH
223,32,1524264615,95,36.62,101.77,4.42,1.44,Xining,CN
224,56,1524264615,90,-5.2,-35.46,26.22,4.59,Touros,BR
225,20,1524261600,42,60.82,-115.79,8.0,2.6,Hay River,CA
226,0,1524264616,61,19.22,-104.7,29.05,1.91,San Patricio,MX
227,0,1524261600,67,-33.04,-71.63,17.0,4.6,Valparaiso,CL
228,0,1524261600,78,-21.64,-41.05,23.0,3.1,Sao Joao da Barra,BR
229,88,1524264616,82,-20.33,-44.24,20.07,1.21,Bonfim,BR
230,75,1524261600,39,45.63,-73.98,8.0,6.2,Saint-Augustin,CA
231,44,1524264617,99,-9.54,16.35,16.77,1.16,Malanje,AO
232,80,1524261600,100,34.5,109.46,15.0,3.0,Weinan,CN
233,24,1524264617,90,-6.22,-57.76,24.52,1.11,Jacareacanga,BR
234,0,1524262500,72,35.86,14.38,16.0,2.1,Dingli,MT
235,68,1524264617,78,62.87,51.9,-9.08,1.24,Sindor,RU
236,0,1524264617,100,-7.93,-14.42,26.27,2.46,Georgetown,SH
237,0,1524261600,73,61.25,73.4,-7.0,4.0,Surgut,RU
238,0,1524264618,100,11.67,92.75,29.05,2.34,Port Blair,IN
239,40,1524263400,93,37.14,-8.45,16.0,4.6,Lagoa,PT
240,0,1524264619,90,-0.74,-90.35,26.37,4.31,Puerto Ayora,EC
241,0,1524260700,71,46.06,20.05,10.0,1.5,Kanjiza,RS
242,92,1524264679,100,20.45,121.97,25.7,7.79,Basco,PH
243,0,1524264679,16,22.68,-3.98,21.57,4.61,Taoudenni,ML
244,75,1524263100,88,-34.0,-58.28,22.0,4.1,Carmelo,UY
245,1,1524263700,63,38.61,-122.87,24.0,3.1,Healdsburg,US
246,44,1524264680,98,-3.7,128.18,28.45,0.24,Ambon,ID
247,0,1524261600,87,-33.92,25.57,11.0,2.1,Port Elizabeth,ZA
248,8,1524261600,34,-23.7,133.88,20.0,2.1,Alice Springs,AU
249,40,1524261600,77,-23.65,-70.4,18.0,6.2,Antofagasta,CL
250,8,1524264680,59,50.63,-96.99,9.95,4.29,Gimli,CA
251,80,1524264681,100,-0.6,73.08,27.12,8.79,Hithadhoo,MV
252,92,1524264681,88,50.92,106.24,2.22,1.74,Selenduma,RU
253,0,1524264681,62,-5.18,-79.97,22.97,1.11,Morropon,PE
254,44,1524264681,88,50.46,48.14,4.57,8.06,Novouzensk,RU
255,92,1524264681,100,42.27,118.96,12.57,3.91,Chifeng,CN
256,40,1524261600,83,-0.72,8.78,28.0,3.6,Port-Gentil,GA
257,8,1524264682,61,51.26,-105.98,8.12,3.31,Davidson,CA
258,0,1524264685,79,49.15,34.2,4.55,1.29,Kobelyaky,UA
259,36,1524264685,94,-16.8,47.65,18.82,1.81,Tsaratanana,MG
260,0,1524261600,72,31.35,27.25,20.0,4.1,Marsa Matruh,EG
261,75,1524261600,74,6.41,-58.62,27.0,4.1,Bartica,GY
262,75,1524261600,94,24.8,125.28,23.0,4.1,Hirara,JP
263,90,1524262200,89,61.6,-149.11,7.0,3.6,Palmer,US
264,5,1524260820,29,43.52,-114.32,17.0,3.6,Hailey,US
265,40,1524261600,94,-17.97,122.23,24.0,4.1,Broome,AU
266,20,1524260460,15,26.82,-109.61,31.0,3.1,La Union,MX
267,0,1524261600,78,53.05,158.65,0.0,2.0,Petropavlovsk-Kamchatskiy,RU
268,12,1524264687,100,-22.09,-70.2,18.42,2.34,Tocopilla,CL
269,0,1524264687,34,29.03,21.55,24.57,4.59,Jalu,LY
270,1,1524263700,43,34.64,-120.46,22.0,5.7,Lompoc,US
271,0,1524261600,12,27.87,-0.29,24.0,5.7,Adrar,DZ
272,40,1524263400,82,33.07,-16.34,15.0,11.8,Porto Santo,PT
273,75,1524261600,88,-29.69,-53.81,22.0,4.6,Santa Maria,BR
274,0,1524261600,72,35.17,136.87,16.0,4.1,Nakamura,JP
275,0,1524261600,73,64.73,177.51,-4.0,1.0,Anadyr,RU
276,92,1524261600,93,-26.0,28.13,15.0,1.0,Midrand,ZA
277,56,1524264689,76,51.55,-107.99,16.42,3.39,Rosetown,CA
278,24,1524263400,93,42.77,-9.06,12.0,1.0,Muros,ES
279,0,1524264689,59,50.72,136.64,8.92,4.61,Solnechnyy,RU
280,12,1524264689,100,61.99,-49.67,-0.36,4.39,Paamiut,GL
281,92,1524264689,100,51.09,54.08,9.12,2.79,Chingirlau,KZ
282,68,1524264690,84,44.04,-64.71,5.07,6.19,Liverpool,CA
283,76,1524264690,100,-23.12,-134.97,26.12,4.64,Rikitea,PF
284,32,1524264690,62,60.89,131.98,-1.18,3.49,Amga,RU
285,0,1524264690,19,18.48,31.82,20.15,1.39,Marawi,SD
286,32,1524264690,96,32.77,22.64,18.62,2.29,Darnah,LY
287,1,1524263700,52,30.37,-88.56,23.0,2.6,Pascagoula,US
288,32,1524264691,91,-11.33,-74.53,19.95,0.49,Mazamari,PE
289,76,1524264691,93,-46.28,169.85,8.47,10.36,Kaitangata,NZ
290,1,1524261600,33,53.95,-113.11,14.0,3.1,Redwater,CA
291,0,1524264691,42,53.99,123.94,0.57,2.61,Skovorodino,RU
292,92,1524264692,88,-33.69,-53.46,21.52,2.29,Chuy,UY
293,20,1524262800,82,31.67,34.57,18.0,3.6,Ashqelon,IL
294,1,1524262500,52,44.16,-94.0,9.0,1.5,Mankato,US
